Lawn_bacterium	Plate	Colony	Measurement	Colony_diameter cm	Halo_diameter cm
Rs4	3	Mid_center	5	0.96	1.502
Rs4	3	Mid_right	1	0.918	1.436
Rs4	3	Mid_right	2	0.889	1.452
Rs4	3	Mid_right	3	0.908	1.418
Rs4	3	Mid_right	4	0.902	1.426
Rs4	3	Mid_right	5	0.91	1.453
Rs4	3	Bottom_left	1	0.89	
Rs4	3	Bottom_left	2	0.862	
Rs4	3	Bottom_left	3	0.906	
Rs4	3	Bottom_left	4	0.904	
Rs4	3	Bottom_left	5	0.912	
Rs4	3	Bottom_center	1	0.929	1.588
Rs4	3	Bottom_center	2	0.879	1.552
Rs4	3	Bottom_center	3	0.907	1.537
Rs4	3	Bottom_center	4	0.936	1.551
Rs4	3	Bottom_center	5	0.902	1.485
Rs4	3	Bottom_right	1	0.907	1.402
Rs4	3	Bottom_right	2	0.863	1.435
Rs4	3	Bottom_right	3	0.891	1.411
Rs4	3	Bottom_right	4	0.901	1.397
Rs4	3	Bottom_right	5	0.901	1.404
Rs4	4	Top_left	1	0.901	1.254
Rs4	4	Top_left	2	0.868	1.253
Rs4	4	Top_left	3	0.895	1.202
Rs4	4	Top_left	4	0.887	1.267
Rs4	4	Top_left	5	0.904	1.277
Rs4	4	Top_center	1	0.96	1.477
Rs4	4	Top_center	2	0.935	1.503
Rs4	4	Top_center	3	0.944	1.486
Rs4	4	Top_center	4	0.965	1.502
Rs4	4	Top_center	5	0.964	1.502
Rs4	4	Top_right	1	1.001	1.502
Rs4	4	Top_right	2	0.927	1.527
Rs4	4	Top_right	3	0.981	1.49
Rs4	4	Top_right	4	0.977	1.47
Rs4	4	Top_right	5	1.001	1.504
Rs4	4	Mid_left	1	0.854	
Rs4	4	Mid_left	2	0.815	
Rs4	4	Mid_left	3	0.85	
Rs4	4	Mid_left	4	0.853	
Rs4	4	Mid_left	5	0.857	
Rs4	4	Mid_center	1	0.937	1.502
Rs4	4	Mid_center	2	0.918	1.502
Rs4	4	Mid_center	3	0.944	1.511
Rs4	4	Mid_center	4	0.937	1.545
Rs4	4	Mid_center	5	0.932	1.502
Rs4	4	Mid_right	1	0.893	1.302
Rs4	4	Mid_right	2	0.879	1.377
Rs4	4	Mid_right	3	0.901	1.335
Rs4	4	Mid_right	4	0.887	1.377
Rs4	4	Mid_right	5	0.898	1.355
Rs4	4	Bottom_left	1	0.872	
Rs4	4	Bottom_left	2	0.831	
Rs4	4	Bottom_left	3	0.855	
Rs4	4	Bottom_left	4	0.859	
Rs4	4	Bottom_left	5	0.851	
Rs4	4	Bottom_center	1	0.952	1.677
Rs4	4	Bottom_center	2	0.888	1.629
Rs4	4	Bottom_center	3	0.943	1.692
Rs4	4	Bottom_center	4	0.943	1.673
Rs4	4	Bottom_center	5	0.94	1.702
Rs4	4	Bottom_right	1	0.918	1.403
Rs4	4	Bottom_right	2	0.893	1.477
Rs4	4	Bottom_right	3	0.913	1.417
Rs4	4	Bottom_right	4	0.922	1.473
Rs4	4	Bottom_right	5	0.926	1.453
Rs4	5	Top_left	1	0.86	1.178
Rs4	5	Top_left	2	0.86	1.229
Rs4	5	Top_left	3	0.888	1.232
Rs4	5	Top_left	4	0.898	1.258
Rs4	5	Top_left	5	0.868	1.229
Rs4	5	Top_center	1	0.935	1.427
Rs4	5	Top_center	2	0.942	1.352
Rs4	5	Top_center	3	0.931	1.452
Rs4	5	Top_center	4	0.946	1.438
Rs4	5	Top_center	5	0.935	1.479
Rs4	5	Top_right	1	1.001	1.58
Rs4	5	Top_right	2	0.98	1.577
Rs4	5	Top_right	3	1.001	1.602
Rs4	5	Top_right	4	1.011	1.598
Rs4	5	Top_right	5	1.022	1.507
Rs4	5	Mid_left	1	0.864	
Rs4	5	Mid_left	2	0.83	
Rs4	5	Mid_left	3	0.88	
Rs4	5	Mid_left	4	0.881	
Rs4	5	Mid_left	5	0.872	
Rs4	5	Mid_center	1	0.905	1.477
Rs4	5	Mid_center	2	0.872	1.552
Rs4	5	Mid_center	3	0.888	1.404
Rs4	5	Mid_center	4	0.919	1.507
Rs4	5	Mid_center	5	0.872	1.427
Rs4	5	Mid_right	1	0.956	1.41
Rs4	5	Mid_right	2	0.91	1.427
Rs4	5	Mid_right	3	0.94	1.444
Rs4	5	Mid_right	4	0.948	1.452
Rs4	5	Mid_right	5	0.943	1.453
Rs4	5	Bottom_left	1	0.889	
Rs4	5	Bottom_left	2	0.855	
Rs4	5	Bottom_left	3	0.879	
Rs4	5	Bottom_left	4	0.891	
Rs4	5	Bottom_left	5	0.893	
Rs4	5	Bottom_center	1	0.943	1.529
Rs4	5	Bottom_center	2	0.905	1.552
Rs4	5	Bottom_center	3	0.925	1.542
Rs4	5	Bottom_center	4	0.894	1.552
Rs4	5	Bottom_center	5	0.926	1.527
Rs4	5	Bottom_right	1	0.924	1.503
Rs4	5	Bottom_right	2	0.868	1.552
Rs4	5	Bottom_right	3	0.903	1.513
Rs4	5	Bottom_right	4	0.867	1.563
Rs4	5	Bottom_right	5	0.913	1.532
